Name,InspectionAddress,Full Address,BillingType,Status,Billing Type Specification,Store Type,Sells Produce,Latitude,Longitude
Juanitos Prime Meats (Grocery),4812 W Clearwater Ave  Kennewick WA 99336,"Juanitos Prime Meats ,4812 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.21247963,-119.1855871
Juliana's Meat Market (Store),5413 W Van Giesen St  West Richland WA 99353,"Juliana's Meat Market ,5413 W Van Giesen St  West Richland WA 99353",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.3035639,-119.3577796
Just A Minit Mart (Store),712  9th St  Benton City WA 99320,"Just A Minit Mart ,712  9th St  Benton City WA 99320",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.265219,-119.4874519
Kabana-King - (Grocery),1305  Jadwin Ave  Richland WA 99354,"Kabana-King - ,1305  Jadwin Ave  Richland WA 99354",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.28639241,-119.2778681
"Kahlotus Korners, Inc. (Store)",120  Pasco Kahlotus Rd  Pasco WA 99301,"Kahlotus Korners,Inc. ,120  Pasco Kahlotus Rd  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.24103332,-119.051012
Kennewick Bottle and Food (Deli),325 S Union St  Kennewick WA 99336,"Kennewick Bottle and Food ,325 S Union St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Deli),Grocery,46.2066158,-119.179546
Ki-Be Market Grocery & Feed (Store),1215  Horne Rd  Benton City WA 99320,"Ki-Be Market Grocery & Feed ,1215  Horne Rd  Benton City WA 99320",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2789827,-119.4947797
Kim's Market (Store),1909 W Court St  Pasco WA 99301,"Kim's Market ,1909 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Pending,(Grocery),(Store),Grocery or other Store that Sells Produce,46.24156871,-119.1151516
King City Truck Stop (Store),2100 E Hillsboro St  Pasco WA 99301,"King City Truck Stop ,2100 E Hillsboro St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.26267051,-119.0844527
Kitchen & Spice Market (Store),1440 W Jadwin Ave  Richland WA 99352,"Kitchen & Spice Market ,1440 W Jadwin Ave  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,37.9817007,-82.0344275
La Cabana #2 Meat Market (Store),1501 W Court St  Pasco WA 99301,"La Cabana  Meat Market ,1501 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2417723,-119.1081017
La Hacienda Meat Market (Grocery),4242 W Van Giesen   West Richland WA 99353,"La Hacienda Meat Market ,4242 W Van Giesen   West Richland WA 99353",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.29888419,-119.3425541
La Palma Market (Store),2120 E Lewis   Pasco WA 99301,"La Palma Market ,2120 E Lewis   Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.23347755,-119.0678066
